Tên quán,Điểm đánh giá,Địa chỉ quán,Số người review,Link
Cơm Gà Xối Mỡ Thạch Lam - Đường Số 16,_._,"42 Đường Số 16, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-thach-lam-duong-so-16
Duy Phát 3 - Cơm Chiên Gà Xối Mỡ,_._,"6 Đường Số 2, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/duy-phat-3-com-chien-ga-xoi-mo
An Khang - Cơm Gà Chiên Xối Mỡ,_._,"182 Tam Bình, P. Tam Phú,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/an-khang-com-ga-chien-xoi-mo
"Hân Gia Ký - Mì Xào, Hủ Tiếu Xào & Cơm Gà Xối Mỡ",_._,"Đường Số 48, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/han-gia-ky-mi-xao-hu-tieu-xao-com-ga-xoi-mo
A Hí 2 - Cơm Gà Xối Mỡ,_._,"176 Hiệp Bình, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/a-hi-2-com-ga-xoi-mo
Cơm Chiên Gà Xối Mỡ - Kha Vạn Cân,_._,"1272 Kha Vạn Cân, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-chien-ga-xoi-mo-kha-van-can
"Huỳnh Ký 76 - Cơm Gà Xối Mỡ, Mì Xào & Hủ Tiếu Xào",_._,"47 Đường Số 3, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/huynh-ky-76-com-ga-xoi-mo-mi-xao-hu-tieu-xao
Cơm Gà Xối Mỡ Ụt - Shop Online,_._,"12/11 Đường Số 46, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-ut-shop-online
Cơm Gà Xối Mỡ 79,_._,"139B Hiệp Bình, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-79
Vân Ngọc 7 - Cơm Gà Xối Mỡ,_._,"36/2 Đường Số 4, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/van-ngoc-7-com-ga-xoi-mo
Trung Quán - Cơm Gà Xối Mỡ,_._,"61/36A Đường Số 48, P. Hiệp Bình Chánh,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/trung-quan-com-ga-xoi-mo
Cơm Gà Xối Mỡ Huỳnh Liên,_._,"37 Đường Số 17, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-huynh-lien
Phương - Cơm Chiên Gà Xối Mỡ,_._,"115 Hồ Văn Tư, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/phuong-com-chien-ga-xoi-mo
Cơm Gà Xối Mỡ Tư Dậu - Cơm Gà Xối Mỡ - Đường Số 4,_._,"52/21B Đường Số 4, Khu Phố 4, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-tu-dau-com-ga-xoi-mo-duong-so-4
Cơm Gà Xối Mỡ Anh Béo - Cơm Gà Xối Mỡ - Số 7,_._,"9 Đường Số 7, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-anh-beo-com-ga-xoi-mo-so-7.d5gofv
An Chicken - Cơm Gà Xối Mỡ,_._,"40A Đường Số 17, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/an-chicken-com-ga-xoi-mo
Anh Đào - Cơm Gà Xối Mỡ,_._,"474 Quốc Lộ 13, P. Hiệp Bình Phước,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/anh-dao-com-ga-xoi-mo
Minh Thành - Cơm Gà Xối Mỡ,_._,"1 Đào Trinh Nhất, P. Linh Tây,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/minh-thanh-com-ga-xoi-mo
SIU FOOD - CƠM GÀ XỐI MỠ - ĐẶNG VĂN BI,_._,"34 Đặng Văn Bi, P. Bình Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/siu-food-com-ga-xoi-mo-dang-van-bi
Cơm Gà Xối Mỡ Bảo Tiên - Đường Số 2,_._,"56 Đường Số 2, P. Trường Thọ,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-bao-tien-duong-so-2
QUẢNG ĐÔNG KÝ - HỦ TIẾU XÀO & CƠM GÀ XỐI MỠ,_._,"102 Đường Số 9, P. Linh Tây,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quang-dong-ky-hu-tieu-xao-com-ga-xoi-mo
Siu Food - Cơm Gà Xối Mỡ - Phạm Văn Đồng,_._,"1162 Phạm Văn Đồng, P. Linh Đông,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/siu-food-com-ga-xoi-mo-pham-van-dong
Cơm Gà Xối Mỡ 20 - Đường Số 17,_._,"50A Đường Số 17, P. Linh Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-20-duong-so-17
Quỳnh Anh - Cơm Chiên Gà Xối Mỡ - Linh Trung,_._,"60V1 Linh Trung, P. Linh Trung,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quynh-anh-com-chien-ga-xoi-mo-linh-trung
Quán Ăn Thiên Ký 5 - Cơm Gà Xối Mỡ,_._,"794 Bình Chiểu, P. Bình Chiểu,Tp. Thủ Đức,TP. HCM",0,https://www.foody.vn/ho-chi-minh/quan-an-thien-ky-5-com-ga-xoi-mo
